Date/heure;O3;NO2;SO2;CO;PM10
04.07.2010;174.2;12.7;0.7;0.23;12.1
05.07.2010;192.6;18.9;1.2;0.27;17.2
06.07.2010;171.2;18.5;0.9;0.23;13.7
07.07.2010;;17.6;1.3;0.23;16.3
08.07.2010;183.7;18.7;1.7;0.23;18.0
09.07.2010;;21.5;1.6;0.30;29.5
10.07.2010;;15.6;1.0;0.30;33.3
11.07.2010;185.1;12.8;0.7;0.24;27.7
12.07.2010;193.5;18.9;0.7;0.25;18.7
13.07.2010;181.8;19.8;0.9;0.25;20.4
14.07.2010;168.8;17.5;1.0;0.26;28.2
15.07.2010;178.2;19.9;1.4;0.27;25.3
16.07.2010;;20.0;1.3;0.29;27.6
17.07.2010;165.0;18.4;0.8;0.29;20.4
18.07.2010;153.3;9.0;0.6;0.17;6.3
19.07.2010;155.3;17.9;1.1;0.22;11.0
20.07.2010;;19.6;1.6;0.26;18.4
21.07.2010;186.1;20.0;1.2;0.27;21.3
22.07.2010;190.8;22.4;1.6;0.27;22.5
23.07.2010;99.5;21.0;0.7;0.23;11.0
24.07.2010;97.3;8.2;0.5;0.15;2.9
25.07.2010;97.2;5.9;0.5;0.15;5.2
26.07.2010;121.4;18.4;1.0;0.20;7.9
27.07.2010;99.0;17.9;1.0;0.20;6.7
28.07.2010;152.2;22.4;1.4;0.24;11.3
29.07.2010;103.7;23.2;1.0;0.25;10.4
30.07.2010;97.7;18.4;1.0;0.31;5.0
31.07.2010;164.9;13.1;1.1;0.21;8.6
01.08.2010;180.0;15.0;2.1;0.24;16.4
02.08.2010;175.8;23.2;1.4;0.27;16.1
03.08.2010;99.5;12.5;0.7;0.19;5.0
04.08.2010;142.9;14.8;0.9;0.21;8.0
05.08.2010;115.9;24.9;0.8;0.24;6.2
06.08.2010;97.8;11.6;0.9;0.18;4.7
07.08.2010;130.1;13.6;1.0;0.21;7.2
08.08.2010;146.4;12.7;1.7;0.21;12.1
09.08.2010;148.5;17.4;1.2;0.24;16.5
10.08.2010;158.6;18.2;1.3;0.26;20.7
11.08.2010;139.9;17.0;0.8;0.26;18.7
12.08.2010;119.3;18.4;0.6;0.22;5.9
13.08.2010;113.4;14.4;0.8;0.20;5.9
14.08.2010;83.4;16.0;0.7;0.21;6.4
15.08.2010;89.0;12.1;0.7;0.19;4.1
16.08.2010;88.1;21.1;1.1;0.25;6.4
17.08.2010;116.6;17.1;1.0;0.24;7.6
18.08.2010;121.0;18.7;1.0;0.30;15.0
19.08.2010;137.1;16.1;1.1;0.27;17.5
20.08.2010;120.6;21.3;1.2;0.30;22.8
21.08.2010;117.0;15.0;0.9;0.27;18.9
22.08.2010;135.2;12.7;1.3;0.26;18.3
23.08.2010;139.2;23.5;1.3;0.29;21.6
24.08.2010;121.8;18.0;1.6;0.23;22.8
25.08.2010;136.9;18.8;1.0;0.25;18.0
26.08.2010;158.5;23.0;1.1;0.28;19.9
27.08.2010;109.3;21.2;1.1;0.26;21.8
28.08.2010;88.2;9.8;0.8;0.18;7.8
29.08.2010;110.7;9.3;0.8;0.17;5.2
30.08.2010;84.6;14.8;0.9;0.20;6.3
31.08.2010;91.7;9.3;0.6;0.17;4.3
01.09.2010;125.2;24.3;1.4;0.23;8.9
02.09.2010;149.7;28.3;2.1;0.29;16.1
03.09.2010;139.0;32.7;1.9;0.33;22.5
04.09.2010;142.9;16.8;1.3;0.24;17.9
05.09.2010;127.3;14.0;1.2;0.23;16.6
06.09.2010;102.7;24.6;1.6;0.24;25.2
07.09.2010;65.4;42.3;0.7;0.33;11.4
08.09.2010;66.8;46.0;0.9;0.35;12.1
09.09.2010;99.9;24.2;1.0;0.27;6.9
10.09.2010;74.8;26.7;1.2;0.31;7.5
11.09.2010;132.0;22.2;1.4;0.28;8.4
12.09.2010;138.9;17.5;1.7;0.28;13.2
13.09.2010;84.9;18.4;1.1;0.31;6.1
14.09.2010;110.3;26.9;1.5;0.32;9.3
15.09.2010;133.3;30.5;1.7;0.33;14.8
16.09.2010;137.2;25.5;1.4;0.30;18.5
17.09.2010;88.4;33.0;1.0;0.32;15.4
18.09.2010;38.3;32.1;0.9;0.34;9.1
19.09.2010;90.1;13.4;0.8;0.23;8.0
20.09.2010;83.2;30.1;1.4;0.34;13.8
21.09.2010;107.1;22.5;1.2;0.32;15.3
22.09.2010;104.0;28.1;1.5;0.32;12.7
23.09.2010;124.8;31.9;1.6;0.36;17.7
24.09.2010;91.3;32.5;1.5;0.34;21.2
25.09.2010;83.4;19.9;1.0;0.23;7.0
26.09.2010;86.0;11.6;1.0;0.21;1.9
27.09.2010;74.9;19.0;1.0;0.25;4.5
28.09.2010;66.0;25.0;1.6;0.31;8.7
29.09.2010;73.6;31.2;2.1;0.34;10.4
30.09.2010;66.3;33.4;2.7;0.37;15.4
01.10.2010;67.9;32.8;2.6;0.39;17.2
02.10.2010;79.5;28.1;2.4;0.40;25.2
03.10.2010;42.8;31.2;3.4;0.43;37.1
04.10.2010;52.2;43.6;2.7;0.47;24.4
05.10.2010;66.1;31.1;1.7;0.33;11.3
06.10.2010;76.8;30.4;2.7;0.38;16.1
07.10.2010;84.9;36.1;2.4;0.39;28.1
08.10.2010;44.4;35.5;2.2;0.36;22.2
09.10.2010;51.3;28.3;2.9;0.34;23.2
10.10.2010;64.2;24.3;2.9;0.38;29.4
11.10.2010;71.1;34.1;3.5;0.47;28.2
12.10.2010;69.2;34.4;3.4;0.48;27.2
13.10.2010;58.4;44.1;4.6;0.51;40.7
