Date/heure;O3;NO2;CO;PM10
24.06.2006;125.4;43.7;0.60;29.0
25.06.2006;98.6;32.7;0.45;21.7
26.06.2006;98.9;50.3;0.57;25.7
27.06.2006;101.4;51.2;0.57;30.9
28.06.2006;87.1;57.7;0.56;28.3
29.06.2006;85.0;64.4;0.82;27.8
30.06.2006;102.5;63.6;0.64;26.1
01.07.2006;114.4;47.5;0.48;30.1
02.07.2006;116.8;29.8;0.38;23.4
03.07.2006;140.8;54.6;0.48;33.8
04.07.2006;133.1;62.5;0.65;42.1
05.07.2006;134.6;53.7;0.51;32.3
06.07.2006;87.3;48.2;0.51;21.2
07.07.2006;55.1;55.6;0.60;22.5
08.07.2006;80.6;37.7;0.56;20.4
09.07.2006;86.4;26.9;0.49;22.7
10.07.2006;90.2;52.6;0.54;25.5
11.07.2006;111.0;46.3;0.47;29.7
12.07.2006;118.8;55.9;0.55;37.2
13.07.2006;130.5;56.9;0.59;29.9
14.07.2006;123.3;64.4;0.54;34.4
15.07.2006;115.5;38.4;0.41;34.3
16.07.2006;117.2;31.4;0.35;24.4
17.07.2006;124.5;52.2;0.47;35.6
18.07.2006;144.9;57.0;0.54;47.9
19.07.2006;136.7;62.5;0.55;33.8
20.07.2006;144.2;56.9;0.54;40.0
21.07.2006;119.6;64.0;0.58;43.1
22.07.2006;144.2;44.4;0.45;32.8
23.07.2006;121.5;32.8;0.37;30.9
24.07.2006;121.7;58.0;0.55;36.5
25.07.2006;127.0;57.1;0.54;42.8
26.07.2006;84.1;66.7;0.65;32.6
27.07.2006;141.6;50.4;0.51;40.4
28.07.2006;106.9;55.5;0.54;35.1
29.07.2006;118.8;41.8;0.44;40.9
30.07.2006;123.1;30.3;0.36;34.7
31.07.2006;92.9;41.0;0.44;39.9
01.08.2006;68.0;27.3;0.29;36.8
02.08.2006;70.8;30.0;0.27;27.0
03.08.2006;53.2;49.1;0.50;14.6
04.08.2006;68.5;38.6;0.38;14.6
05.08.2006;75.6;38.4;0.41;16.1
06.08.2006;40.1;46.0;0.61;13.4
07.08.2006;58.2;53.5;0.71;26.2
08.08.2006;110.1;49.7;0.53;31.3
09.08.2006;74.8;46.7;0.42;22.4
10.08.2006;78.2;40.1;0.43;27.0
11.08.2006;52.5;47.7;0.50;22.7
12.08.2006;65.0;38.4;0.47;9.6
13.08.2006;54.1;34.9;0.43;10.7
14.08.2006;52.1;51.9;0.57;24.1
15.08.2006;91.2;55.4;0.64;24.3
16.08.2006;82.4;60.0;0.66;21.6
17.08.2006;81.1;53.3;0.65;26.4
18.08.2006;80.5;45.5;0.48;29.5
19.08.2006;86.7;38.3;0.49;18.5
20.08.2006;70.0;29.6;0.38;15.4
21.08.2006;78.3;35.8;0.41;20.6
22.08.2006;62.2;38.0;0.40;21.3
23.08.2006;81.7;48.6;0.55;26.9
24.08.2006;36.0;53.8;0.65;30.3
25.08.2006;80.9;44.8;0.52;27.4
26.08.2006;78.6;32.0;0.43;20.1
27.08.2006;56.7;30.3;0.39;12.6
28.08.2006;51.7;42.0;0.54;21.6
29.08.2006;56.2;40.6;0.43;21.1
30.08.2006;48.3;40.8;0.45;21.8
31.08.2006;69.0;51.6;0.65;24.1
01.09.2006;94.1;54.9;0.67;34.3
02.09.2006;77.8;53.1;0.75;29.2
03.09.2006;71.7;36.6;0.56;25.3
04.09.2006;60.4;38.4;0.52;24.3
05.09.2006;65.1;43.7;0.53;27.8
06.09.2006;25.9;57.0;0.86;39.3
07.09.2006;83.5;49.1;0.62;39.3
08.09.2006;56.5;44.1;0.49;22.1
09.09.2006;72.4;35.6;0.44;28.9
10.09.2006;78.9;37.7;0.60;30.0
11.09.2006;76.3;49.7;0.58;28.6
12.09.2006;69.9;54.0;0.69;32.1
13.09.2006;83.5;62.0;0.71;36.9
14.09.2006;42.9;65.0;0.80;45.8
15.09.2006;57.8;48.0;0.64;41.5
16.09.2006;72.7;40.5;0.59;28.8
17.09.2006;61.7;31.7;0.51;22.1
18.09.2006;69.8;54.2;0.57;23.8
19.09.2006;72.4;46.2;0.59;39.3
20.09.2006;65.5;50.2;0.69;40.7
21.09.2006;;48.9;0.80;46.2
22.09.2006;81.3;58.4;0.76;51.8
23.09.2006;70.2;48.7;0.76;82.9
24.09.2006;71.9;31.9;0.51;45.2
25.09.2006;56.6;40.4;0.39;25.1
26.09.2006;60.0;50.7;0.53;16.5
27.09.2006;34.9;45.8;0.58;24.8
28.09.2006;59.3;41.2;0.64;27.5
29.09.2006;57.8;52.8;0.74;35.2
30.09.2006;75.5;46.0;0.68;26.5
01.10.2006;41.0;38.2;0.54;11.3
02.10.2006;43.0;45.6;0.57;26.3
03.10.2006;56.3;33.3;0.46;17.8
04.10.2006;60.5;44.9;0.54;19.7
05.10.2006;70.2;40.0;0.55;22.7
06.10.2006;44.4;50.9;0.67;26.7
07.10.2006;60.5;38.6;0.54;18.2
08.10.2006;42.1;29.7;0.58;21.4
09.10.2006;32.4;49.8;0.73;28.7
10.10.2006;30.6;57.3;0.81;37.0
11.10.2006;43.6;45.8;0.73;44.4
12.10.2006;47.1;59.7;0.85;43.1
13.10.2006;38.4;61.1;0.94;54.6
14.10.2006;31.9;38.6;0.55;57.9
15.10.2006;33.6;30.4;0.48;42.3
16.10.2006;12.2;40.5;0.61;50.1
17.10.2006;40.1;48.1;0.69;45.2
18.10.2006;23.4;58.9;0.89;44.5
19.10.2006;31.1;48.9;0.78;49.1
20.10.2006;37.4;53.0;0.86;35.8
21.10.2006;61.5;44.3;0.76;26.0
22.10.2006;54.5;35.1;0.56;21.6
23.10.2006;11.8;52.1;0.88;32.2
24.10.2006;60.4;56.3;0.69;24.3
25.10.2006;17.5;58.4;0.85;33.5
26.10.2006;14.9;60.1;1.33;38.3
27.10.2006;11.9;63.0;1.25;51.1
28.10.2006;51.3;46.3;0.97;35.8
29.10.2006;29.3;39.6;0.68;20.1
30.10.2006;28.4;38.5;0.55;30.8
31.10.2006;44.8;43.7;0.65;34.1
01.11.2006;59.7;48.4;0.52;27.4
02.11.2006;47.8;61.7;0.72;30.7
03.11.2006;46.1;61.2;0.71;28.6
04.11.2006;49.9;54.8;0.85;33.3
05.11.2006;39.6;48.2;0.97;35.6
06.11.2006;21.6;63.8;1.12;49.1
07.11.2006;13.9;73.0;1.32;55.7
08.11.2006;33.8;72.2;1.20;47.5
09.11.2006;13.1;72.4;1.22;38.3
10.11.2006;22.3;46.7;0.74;39.8
11.11.2006;42.4;38.0;0.66;26.8
12.11.2006;62.1;26.6;0.34;11.7
13.11.2006;43.0;49.6;0.58;24.2
14.11.2006;13.2;55.7;1.04;30.2
15.11.2006;10.3;42.1;0.97;43.1
16.11.2006;15.0;50.6;1.22;50.8
17.11.2006;13.7;61.8;1.12;42.5
18.11.2006;48.5;44.6;0.85;27.5
19.11.2006;55.6;32.1;0.60;18.2
20.11.2006;42.1;50.6;0.67;28.5
21.11.2006;35.9;58.8;0.72;20.0
22.11.2006;66.2;53.1;0.58;19.8
23.11.2006;26.5;65.8;1.05;30.3
24.11.2006;7.6;62.3;1.39;40.0
25.11.2006;6.3;60.6;1.50;38.5
26.11.2006;14.9;46.6;1.34;39.4
27.11.2006;8.1;57.1;1.42;54.2
28.11.2006;13.4;45.5;1.22;70.1
29.11.2006;24.4;59.9;1.15;37.8
30.11.2006;19.2;49.2;0.69;38.6
01.12.2006;18.0;46.8;0.88;37.7
02.12.2006;9.5;33.2;0.85;40.9
03.12.2006;52.8;40.1;0.87;36.7
04.12.2006;55.8;43.4;0.42;13.2
05.12.2006;30.9;66.4;0.97;30.0
06.12.2006;25.4;61.7;0.83;16.0
07.12.2006;25.1;57.1;0.89;35.6
08.12.2006;48.3;57.5;0.82;27.4
09.12.2006;46.3;58.8;0.81;15.6
10.12.2006;31.2;45.5;0.78;22.3
11.12.2006;20.2;60.7;0.80;27.2
12.12.2006;17.8;67.7;1.00;30.4
13.12.2006;11.8;65.0;1.11;53.0
14.12.2006;11.1;76.0;1.40;64.7
15.12.2006;9.1;72.5;1.48;57.4
16.12.2006;9.6;59.8;1.41;58.0
17.12.2006;29.0;46.0;0.86;34.9
18.12.2006;34.9;50.2;0.58;25.8
19.12.2006;42.4;49.3;0.64;27.9
20.12.2006;44.7;53.3;0.79;33.8
21.12.2006;18.3;64.0;0.86;42.4
22.12.2006;27.4;59.5;0.89;44.1
23.12.2006;13.6;46.8;0.77;52.5
24.12.2006;15.9;37.1;0.68;58.6
25.12.2006;11.0;35.1;0.71;41.9
26.12.2006;13.4;31.4;0.71;38.7
27.12.2006;8.1;40.9;0.84;39.7
28.12.2006;7.6;49.4;1.04;57.9
29.12.2006;10.8;48.7;0.96;50.9
30.12.2006;11.3;54.8;1.15;62.9
31.12.2006;13.6;57.2;1.04;34.4
01.01.2007;52.8;39.4;0.69;26.0
02.01.2007;72.7;22.9;0.32;6.4
03.01.2007;49.8;46.6;0.56;22.3
04.01.2007;46.9;47.0;0.54;20.6
05.01.2007;57.7;55.0;0.63;22.8
06.01.2007;21.8;50.6;0.93;31.0
07.01.2007;44.9;42.9;0.76;23.2
08.01.2007;43.4;42.3;0.56;18.4
09.01.2007;44.9;64.6;1.04;27.2
10.01.2007;52.8;44.8;0.76;31.5
11.01.2007;57.1;32.4;0.36;19.3
12.01.2007;59.8;43.5;0.52;23.8
13.01.2007;26.0;42.7;0.91;28.3
14.01.2007;15.9;48.0;1.17;38.0
15.01.2007;18.3;43.2;0.76;36.7
16.01.2007;10.9;58.1;0.96;42.2
17.01.2007;32.4;58.8;0.75;35.9
18.01.2007;55.3;31.2;0.34;17.4
19.01.2007;54.9;28.5;0.35;29.2
20.01.2007;46.3;37.0;0.59;21.6
21.01.2007;67.2;26.8;0.39;18.9
22.01.2007;28.4;47.9;0.60;30.4
23.01.2007;50.4;39.8;0.50;19.7
24.01.2007;36.1;43.4;0.53;26.3
25.01.2007;33.5;46.3;0.55;24.7
26.01.2007;35.5;62.9;0.79;86.4
27.01.2007;35.5;70.3;0.98;51.1
28.01.2007;53.2;53.1;0.79;42.4
29.01.2007;23.5;73.4;0.95;35.7
30.01.2007;33.0;73.7;1.14;52.6
31.01.2007;23.1;59.9;0.84;70.1
01.02.2007;24.5;63.5;0.86;68.3
02.02.2007;16.0;63.2;1.01;66.7
03.02.2007;37.1;50.2;0.86;45.2
04.02.2007;45.3;40.0;0.59;41.5
05.02.2007;63.6;54.6;0.67;64.8
06.02.2007;55.6;57.8;0.66;25.0
07.02.2007;24.6;60.2;0.84;34.0
08.02.2007;57.6;55.3;0.72;26.4
09.02.2007;49.8;64.3;0.82;38.5
10.02.2007;33.5;49.1;0.79;22.8
11.02.2007;66.2;34.8;0.54;20.5
12.02.2007;68.8;52.5;0.59;16.3
13.02.2007;69.2;43.5;0.53;23.7
14.02.2007;22.2;70.7;0.96;29.7
15.02.2007;35.3;65.8;0.97;40.0
16.02.2007;29.3;63.1;1.05;55.3
17.02.2007;19.3;54.9;1.11;57.6
18.02.2007;46.8;51.5;1.11;60.7
19.02.2007;50.3;73.4;0.98;52.8
20.02.2007;50.2;70.1;1.01;58.8
21.02.2007;57.2;72.2;0.94;57.9
22.02.2007;60.7;66.7;0.84;61.9
23.02.2007;55.5;70.8;0.93;64.0
24.02.2007;72.8;63.5;0.70;33.3
25.02.2007;70.7;41.3;0.48;11.2
26.02.2007;68.0;39.4;0.44;12.0
27.02.2007;55.9;49.6;0.53;30.7
28.02.2007;63.6;37.2;0.41;19.9
01.03.2007;69.9;34.2;0.35;20.1
02.03.2007;70.1;49.5;0.55;22.5
03.03.2007;78.2;37.3;0.48;12.8
04.03.2007;70.5;44.7;0.62;24.4
05.03.2007;57.4;57.2;0.66;25.6
06.03.2007;48.6;54.6;0.76;32.5
07.03.2007;75.1;59.3;0.65;28.1
